candidate_rank,candidate_name,validation_macro_f1,test_macro_f1,test_accuracy,latency_ms_per_review,accepted,selected
1,count_naive_bayes,0.7742553264910811,0.7746980677819345,0.7741218319253002,0.020418320200406015,True,False
2,tfidf_logistic_baseline,0.7650333927290894,0.7592796792856769,0.7594486438417074,0.019745839526876807,True,False
3,tfidf_logistic_regularized,0.7745964172831553,0.7719599148781889,0.7723432636727434,0.022720000124536455,True,False
4,tfidf_logistic_tuned,0.7750199913169515,0.7736922040873718,0.7741218319253002,0.03462000051513314,True,True
5,tfidf_sgd_log_loss,0.7678753059756273,0.7686382220977525,0.7696754112939084,0.03298668016213924,True,False
